step_size, num_rrt_iterations, rrt_path_size, rrt_path_length, std_num_iter, std_path_length
16,1675.1,78.8,1260.8,2017.72283363,14.5510595261
15,2176.6,88.4,1326.0,1846.06393292,20.1284762353
14,1427.0,81.8,1145.2,1145.58204517,5.49343041985
13,3325.5,103.1,1340.3,2836.51821977,27.8785062568
12,2114.1,105.9,1270.8,2505.06928048,21.1210795179
11,2776.3,112.7,1239.7,2469.21962706,28.5230900617
10,4038.8,125.1,1251.0,4352.35271753,27.8904603364
9,3202.5,142.3,1280.7,1959.84598318,33.1831617273
8,6225.6,156.3,1250.4,4483.01855648,30.59429867
7,8672.4,173.4,1213.8,9117.75781648,30.9199683772
6,9392.9,223.8,1342.8,9506.52263156,57.1621475376
5,21031.8,257.7,1288.5,17984.3159003,59.1871795427
